outcome,arm,mean,ci_low,ci_high
profit,control,0.2611157420444945,0.201678630432742,0.3259166666666667
profit,mens,0.5590466044023091,0.46857824658562924,0.655281386398836
profit,womens,0.4208806284191332,0.34261447140786466,0.5049706036377238
visit,control,0.10616727682343002,0.10199004975124377,0.11025063362433117
visit,mens,0.18275684047496127,0.17759421786267424,0.18801332895292627
visit,womens,0.151400383410483,0.14653761630897275,0.15616963576004114
conversion,control,0.005726086548390125,0.0047404486998967425,0.006758659532526049
conversion,mens,0.01253109306800582,0.011076172149997654,0.014032946918852958
conversion,womens,0.008837144059475383,0.007621452284097816,0.010146350586805068
spend,control,0.6527893551112361,0.5041965760818548,0.8147916666666667
spend,mens,1.422616511005773,1.196445616464073,1.66320346599709
spend,womens,1.0772015710478329,0.8815361785196615,1.2874265090943096
